,DEPTH,RHOB,VP,GR,NPHI
16017,3302.25,2.2778,3387.2387336527945,114.77097666666667,0.2735
16018,3302.375,2.2841,3384.6471605275515,114.93761333333333,0.2801
16019,3302.5,2.2849,3410.502288214298,115.05003333333335,0.2875
16020,3302.625,2.2888,3380.283249642204,115.10996666666666,0.2811
16021,3302.75,2.29,3380.065056390183,111.1421,0.2784
16022,3302.875,2.2904,3379.401621989966,113.5541,0.2747
16023,3303.0,2.2899,3377.796642984045,112.898,0.2709
16024,3303.125,2.2859,3378.842768522665,112.6152,0.2739
16025,3303.25,2.2834,3375.5975087725396,112.3324,0.2723
16026,3303.375,2.2837,3376.1255344056044,113.9408,0.2686
16027,3303.5,2.2896,3379.8147542017246,115.9067,0.2711
16028,3303.625,2.298,3387.5349727886546,111.14019333333334,0.277
16029,3303.75,2.3053,3392.6750768498136,110.39126333333337,0.2829
16030,3303.875,2.3127,3400.461409729738,109.75367666666669,0.2936
16031,3304.0,2.3146,3425.5504706760294,109.18114000000001,0.29
16032,3304.125,2.3205,3416.5183309935037,108.63862333333334,0.2841
16033,3304.25,2.3283,3416.1821716255645,108.03618333333334,0.281
16034,3304.375,2.338,3413.369404745543,107.40248666666666,0.284
16035,3304.5,2.3511,3410.667194760233,106.68170666666667,0.2936
16036,3304.625,2.3634,3408.6284333006956,105.96471333333334,0.3001
16037,3304.75,2.3735,3407.0069469250366,105.31073333333332,0.2974
16038,3304.875,2.3791,3426.821398296033,104.73587666666666,0.2965
16039,3305.0,2.3806,3396.7663853858808,104.22736333333334,0.3012
16040,3305.125,2.379,3408.7585150880377,103.68510000000002,0.3112
16041,3305.25,2.374,3411.589686674966,103.08511666666668,0.322
16042,3305.375,2.3683,3432.4556247001665,102.54473333333337,0.3204
16043,3305.5,2.3594,3407.9702674719974,102.06214666666668,0.313
16044,3305.625,2.3496,3412.5475585308322,101.63088666666668,0.3095
16045,3305.75,2.34,3410.0654270692858,101.22251333333335,0.3084
16046,3305.875,2.3319,3409.9763822482296,100.84059000000002,0.3047
16047,3306.0,2.3311,3414.812957294948,100.47968333333333,0.3104
16048,3306.125,2.3449,3419.7301906908338,100.18066666666667,0.3015
16049,3306.25,2.3782,3423.3962732161485,99.93693666666665,0.3013
16050,3306.375,2.4208,3435.721129459505,104.5019,0.3006
16051,3306.5,2.345006666666667,3434.5867847287095,98.6848,0.2973
16052,3306.625,2.3398266666666667,3403.1720511145722,98.0878,0.3071
16053,3306.75,2.3344,3430.637819135362,97.4917,0.3112
16054,3306.875,2.3299,3438.6478465494724,96.4729,0.3146
16055,3307.0,2.3268799999999996,3450.436469143035,95.6345,0.3188
16056,3307.125,2.32594,3463.1944097833643,95.0037,0.3202
16057,3307.25,2.3274033333333333,3468.701456103515,99.65075666666667,0.3166
16058,3307.375,2.4292,3494.602216276096,94.6952,0.3207
16059,3307.5,2.3983,3518.5167709650796,98.0495,0.3127
16060,3307.625,2.3694,3535.6989331909194,99.1848,0.3123
16061,3307.75,2.3483,3539.933284338243,99.2704,0.3124
16062,3307.875,2.3345,3513.4191170113804,99.3787,0.3098
16063,3308.0,2.3216,3530.75739467227,99.3968,0.3087
16064,3308.125,2.3117,3529.901659089483,96.1641,0.3021
16065,3308.25,2.416206666666667,3531.0698175375805,95.9456,0.2956
16066,3308.375,2.429833333333333,3533.0389772865883,97.5039,0.2905
16067,3308.5,2.4408400000000006,3536.990073815549,99.8007,0.2858
16068,3308.625,2.448906666666667,3538.2217498945524,101.7525,0.281
16069,3308.75,2.4556300000000006,3536.272639814262,102.0192,0.281
16070,3308.875,2.4615500000000003,3532.7175892470523,102.2863,0.2849
16071,3309.0,2.467023333333333,3534.3416964251705,102.2069,0.289
16072,3309.125,2.47229,3543.1252292166055,102.6253,0.2877
16073,3309.25,2.47772,3554.3720022623456,103.3498,0.2818
16074,3309.375,2.4832933333333336,3568.030296197922,103.3724,0.278
16075,3309.5,2.4889133333333335,3584.693209785652,103.395,0.278
16076,3309.625,2.49432,3598.0760677282424,102.9255,0.2836
16077,3309.75,2.4995600000000007,3605.5106405256124,102.7933,0.2834
16078,3309.875,2.5048366666666673,3612.1356904617146,102.9037,0.28
16079,3310.0,2.510316666666667,3620.321772014331,102.8364,0.2783
16080,3310.125,2.515773333333334,3628.8738454221975,102.0375,0.28
16081,3310.25,2.5207466666666676,3635.361077231149,101.2387,0.2888
16082,3310.375,2.524686666666667,3642.937041703935,98.1465,0.2972
16083,3310.5,2.5272966666666665,3627.306189626713,102.53178666666665,0.3014
16084,3310.625,2.5286133333333334,3648.3198196982316,103.34975999999999,0.302
16085,3310.75,2.4561,3642.2275763834996,104.16573333333332,0.3014
16086,3310.875,2.5176,3633.7779170270446,104.98078000000001,0.2957
16087,3311.0,2.5798,3621.9437994314562,105.80701666666667,0.2863
16088,3311.125,2.5151499999999998,3604.604226405335,106.63105666666667,0.2787
16089,3311.25,2.5064900000000003,3588.4153274721307,107.41934,0.2736
16090,3311.375,2.49705,3579.09375452877,108.12671666666667,0.2725
16091,3311.5,2.48747,3579.181056583285,108.81117666666668,0.279
16092,3311.625,2.478183333333334,3589.2261345517554,109.46064333333334,0.2815
16093,3311.75,2.4691033333333334,3601.7849268509376,110.07037333333331,0.291
16094,3311.875,2.4599666666666673,3611.310291169795,110.49276333333333,0.2992
16095,3312.0,2.451566666666667,3619.9698642323583,110.78637666666665,0.3027
16096,3312.125,2.4444266666666667,3625.213408804299,110.96559666666666,0.3023
16097,3312.25,2.5278,3627.839059498829,107.0631,0.3048
16098,3312.375,2.4826,3634.6511379905546,111.08189666666664,0.3243
16099,3312.5,2.4576,3644.909880034766,111.11834666666664,0.3321
16100,3312.625,2.4426,3656.1852994965784,111.13262666666667,0.3342
16101,3312.75,2.4348,3689.9922277722762,110.97653999999999,0.3292
16102,3312.875,2.4381,3693.5977044589467,110.84731666666666,0.3035
16103,3313.0,2.4405,3707.2947077235813,110.76810999999998,0.3199
16104,3313.125,2.4397,3718.165960094283,110.66932333333331,0.323
16105,3313.25,2.4341,3727.638562825673,110.43441666666665,0.3298
16106,3313.375,2.4299,3740.5597384681378,105.1092,0.3358
16107,3313.5,2.4334,3756.433226499621,105.7092,0.3315
16108,3313.625,2.4424,3765.721572043479,106.3092,0.3217
16109,3313.75,2.4453,3769.784844736851,112.9608,0.3218
16110,3313.875,2.439,3769.2458614480793,107.12863999999998,0.3132
16111,3314.0,2.4242,3765.8906994591375,106.05572666666666,0.3086
16112,3314.125,2.4075,3762.2240223923127,104.88254666666667,0.3074
16113,3314.25,2.399,3758.7075224648765,103.65775666666667,0.2955
16114,3314.375,2.3981,3758.6598008499996,102.38567333333334,0.3037
16115,3314.5,2.3946,3762.8212916058387,101.13553333333336,0.294
16116,3314.625,2.3844,3770.5232002201797,99.96202666666667,0.3007
16117,3314.75,2.373,3780.324644721184,98.94447666666669,0.31
16118,3314.875,2.3699,3784.004569509026,97.98073666666666,0.3082
16119,3315.0,2.3864,3794.048061814522,97.08859,0.3205
16120,3315.125,2.4162,3808.4510213980443,96.32792666666666,0.3115
16121,3315.25,2.4544,3824.086712011581,95.79191666666665,0.3096
16122,3315.375,2.4894,3835.237553264789,95.54472000000003,0.3079
16123,3315.5,2.5125,3842.1380917044257,95.33987333333333,0.304
16124,3315.625,2.5181,3850.093392273064,95.18151000000002,0.3007
16125,3315.75,2.4951,3850.0322761218026,95.10979999999998,0.2966
16126,3315.875,2.4608,3850.7866949599693,95.18914999999998,0.3017
16127,3316.0,2.4427,3855.3884692421434,95.4340233333333,0.3088
16128,3316.125,2.4506,3862.2294407157556,95.86702,0.3172
16129,3316.25,2.485,3867.19000509165,96.22314,0.3257
16130,3316.375,2.539,3869.525115373955,99.2787,0.329
16131,3316.5,2.5714,3855.631767298866,98.825,0.3152
16132,3316.625,2.567,3843.608566381851,98.3675,0.3076
16133,3316.75,2.5334,3829.923317654816,97.6574,0.3009
